Run,age_description,Age,Assay Type,AvgSpotLen,Biomaterial_provider,BioProject,Biorep,BioSample,cell_description,cell_organism,cell,cell_sex,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,datatype_description,datatype,Experiment,GEO_Accession,Instrument,lab_description,lab,labexpid,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,readtype_description,readtype,ReleaseDate,sample_acc,Sample Name,source_name,spikeinpool,SRA Study,strain_description,strain,replicate
SRR453087,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,22AWC,SAMN00849375,Mammary Gland,mouse,MammaryGland,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135151,GSM900184,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20924,GSM900184: CSHL_RnaSeq_MammaryGland_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2715,1897,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307249,GSM900184,MammaryGland,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453088,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,22AWC,SAMN00849375,Mammary Gland,mouse,MammaryGland,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135151,GSM900184,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20924,GSM900184: CSHL_RnaSeq_MammaryGland_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,4477,3121,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307249,GSM900184,MammaryGland,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453090,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,22AWC,SAMN00849375,Mammary Gland,mouse,MammaryGland,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135151,GSM900184,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20924,GSM900184: CSHL_RnaSeq_MammaryGland_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2691,1600,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307249,GSM900184,MammaryGland,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453091,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,22AWC,SAMN00849375,Mammary Gland,mouse,MammaryGland,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135151,GSM900184,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20924,GSM900184: CSHL_RnaSeq_MammaryGland_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2293,1312,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307249,GSM900184,MammaryGland,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453092,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,22AWC,SAMN00849375,Mammary Gland,mouse,MammaryGland,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135151,GSM900184,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20924,GSM900184: CSHL_RnaSeq_MammaryGland_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,4334,2527,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307249,GSM900184,MammaryGland,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453093,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,3AWC,SAMN00849376,Stomach,mouse,Stomach,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135152,GSM900185,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20732,GSM900185: CSHL_RnaSeq_Stomach_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,3989,2247,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307250,GSM900185,Stomach,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453094,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,3AWC,SAMN00849376,Stomach,mouse,Stomach,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135152,GSM900185,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20732,GSM900185: CSHL_RnaSeq_Stomach_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,4121,2463,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307250,GSM900185,Stomach,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453095,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,3AWC,SAMN00849376,Stomach,mouse,Stomach,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135152,GSM900185,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20732,GSM900185: CSHL_RnaSeq_Stomach_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,3701,2063,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307250,GSM900185,Stomach,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453096,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,3AWC,SAMN00849376,Stomach,mouse,Stomach,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135152,GSM900185,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20732,GSM900185: CSHL_RnaSeq_Stomach_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,4509,2561,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307250,GSM900185,Stomach,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453097,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,3AWC,SAMN00849376,Stomach,mouse,Stomach,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135152,GSM900185,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20732,GSM900185: CSHL_RnaSeq_Stomach_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,5146,3122,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307250,GSM900185,Stomach,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453098,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,3AWC,SAMN00849376,Stomach,mouse,Stomach,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135152,GSM900185,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20732,GSM900185: CSHL_RnaSeq_Stomach_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,4150,2335,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307250,GSM900185,Stomach,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453099,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2983,1758,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453100,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2729,1618,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453101,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1051,584,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453102,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1970,1122,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453103,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1947,1094,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453104,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2768,1606,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453105,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2579,1500,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453106,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,872,472,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453107,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1987,1118,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453108,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,1)LICR lab; 2)CSHL lab,PRJNA66167,9AWC,SAMN00849377,Small Intestine,mouse,SmIntestine,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135153,GSM900186,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20819,GSM900186: CSHL_RnaSeq_SmIntestine_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2093,1148,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307251,GSM900186,SmIntestine,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453109,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,2AWC,SAMN00849378,Duodenum,mouse,Duodenum,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135154,GSM900187,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20730,GSM900187: CSHL_RnaSeq_Duodenum_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,3978,2296,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307252,GSM900187,Duodenum,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453110,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,2AWC,SAMN00849378,Duodenum,mouse,Duodenum,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135154,GSM900187,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20730,GSM900187: CSHL_RnaSeq_Duodenum_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,4193,2545,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307252,GSM900187,Duodenum,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
